,highlights,paraphrased_highlights
752,Motility index measured by magnetic resonance enterography is associated with sex and mural thickness.,The motility index measured by magnetic resonance enterography is associated with sex and mural thickness.
753,"Challenges in the Diagnosis of Leak After Sleeve Gastrectomy: Clinical Presentation, Laboratory, and Radiological Findings.","Leak diagnostic challenges after shave Gastrectomy: Clinical presentation, laboratory and radiological findings."
754,A phase 3 randomized clinical trial using a once-weekly glucagon-like peptide-1 receptor agonist in adolescents and young adults with hypothalamic obesity.,A phase 3 randomized clinical trial using a once-weekly glucagon-like peptide receptor agonist in adolescents and young adults with hypothalamic obesity.
755,Outcomes of primary versus revisional robotically assisted laparoscopic Roux-en-Y gastric bypass: a multicenter analysis of ten-year experience.,Outcomes of primary versus revisional robotic - assisted – Roux-en-Y gastric bypass: a multicenter analysis of ten-year experience
756,"Clinical Features, Risk Factors, and Endoscopic Treatment of Bezoars: A Retrospective Analysis from a Single Center in Northern China.","Clinical features, risk factors, and endoscopic treatment of zoars: a retrospective analysis from a single center in Northern China"
757,Ruptured liver abscess presenting as pneumoperitoneum caused by Klebsiella pneumoniae: a case report.,Ruptured liver abscess presenting as a pneumoperitoneum caused by Klebsiella pneumoniae: a case report.
758,Surgical treatment of acute cholecystitis in obese patients.,Surgical treatment of acute cholecystitis in obese patients.
759,Outcomes with Intra-gastric Balloon Therapy in BMI < 35 Non-morbid Obesity: 10-Year Follow-Up Study of an RCT.,Results of intragastric balloon therapy in BMI  35 non-morbid obesity: 10 Year Follow-Up Study of an RCT.
760,MRI Texture-Based Models for Predicting Mitotic Index and Risk Classification of Gastrointestinal Stromal Tumors.,Texture-based Models for Predicting the Mitotic Index and Risk Classification of Gastrointestinal Stromal Tumors.
761,A case of swallow syncope with transient congestive liver caused by esophageal dilatation associated with huge hiatal hernia.,A case of swallow syncope with transient congestive liver caused by esophageal dilatation associating with huge hiatal hernia.
762,Three‑Dimensional Ultrasonography in Preoperative and Postoperative Volume Assessment of the Undescended Testicle.,Three-dimensional ultrasonography in the preoperative and postoperative volume assessment of the undescended testicle.
763,Beware Pathological Findings of the Stomach in Patients Undergoing Bariatric Surgery: a Systematic Review and Meta-analysis.,Beware of Stomach Pathological Findings in Patients Undergoing Bariatric Surgery : a Systematic Review and Meta-analysis
764,Small Intestinal Bacterial Overgrowth: Clinical Presentation in Patients with Roux-en-Y Gastric Bypass.,Small intestinal bacterial overgrowth: Clinical presentation in patients with Roux-en-Y gastric bypass
765,Staple Line Leaks Following Laparoscopic Sleeve Gastrectomy: Low Efficacy of the Over-the-Scope Clip.,Staple line leaks following laparoscopic Sleeve Gastrectomy: Low Efficacy of the Over-the-Scope Clip
766,Generation and initial characterization of novel tumour organoid models to study human pancreatic cancer-induced cachexia.,Generating and initial characterization of novel tumour organoid models to study the human pancreatic cancer-induced cachexia
767,Relationship between serum gamma-glutamyl transferase level and colorectal adenoma.,Relationship between the serum Gammaglutamyl transferase level and colorectal adenoma.
768,Application of Computed Tomography Imaging in Diagnosis of Endocrine Nerve of Gastric Cancer and Nursing Intervention Effect.,Application of computed tomography image analysis in diagnosis of the endocrinologist's nerve of gastric cancer and effect of nursing intervention
769,"What was First, Obesity or Inflammatory Bowel Disease? What Does the Gut Microbiota Have to Do with It?","What was the first, obesity or inflammatory digestive disease? What do the gut microbiota have to do with it?"
770,Exploring scientific research with the participation of multidisciplinary team in the clinical management of portal hypertension.,Exploring scientific research with the participation of multidisciplinary team in the clinical management of portal hypertension.
771,Young boy with a long history of splenomegaly and cytopenia.,Young boy with a long history of splenomegaly and cytopenia.
772,Anti-Tuberculosis Treatment: Induced Hepatotoxicity - A Case Report.,Anti-Tuberculosis treatment: Induced Hepatotoxicity - A Case Report.
773,The Impact of Bariatric Surgery Compared to Medical Therapy on Health-Related Quality of Life in Subjects with Obesity and Type 2 Diabetes Mellitus.,The impact of bariatric surgery compared to medical therapy on the health-related quality of life of subjects with obesity and type 2 diabetes mellitus.
774,Evaluation of Perioperative Intestinal Motility Using a Newly Developed Real-Time Monitoring System During Surgery.,Evaluation of Perioperative Intestinal Motility Using a newly developed Real Time Monitoring System During Surgery
775,The Role of the Gut Microbiota in Coronary Heart Disease.,The role of the gut microbiota in coronary heart disease
776,Evaluation of risk classifications for gastrointestinal stromal tumor using multi-parameter Magnetic Resonance analysis.,5.3 Evaluation of risk classifications for gastrointestinal stromal tumor using multi-parametric magnetic resonance analysis
777,CT assessment of preoperative nutritional status in gastric cancer: severe low skeletal muscle mass and obesity-related low skeletal muscle mass are unfavorable factors of postoperative complications.,CT diagnosis of preoperative nutrition status in gastric cancer: severe low skeletal muscle mass and obesity-related low skeletal muscle mass are unfavorable factors for postoperative complications.
778,Peculiarities of diagnosis and emergency surgical care in aorto-oesophageal fistula.,Peculiarities of diagnosis and emergency surgical care in aorto-oesophageal fistula.
779,Propranolol in the prevention of first upper gastrointestinal tract hemorrhage in patients with cirrhosis of the liver and esophageal varices.,Propranolol in the prevention of the first gastrointestinal tract hemorrhage in patients with liver and esophageal varices cirrhosis
780,Gastritis cystica profunda: a case report and literature review.,Gastritis cystica profunda : a case report and a literature review.
781,Changes in gut microbial flora after Roux-en-Y gastric bypass and sleeve gastrectomy and their effects on post-operative weight loss.,Changes in gut microflora after Roux-en-Y gastric bypass and sleeve gastrectomy and their effects on post-operative weight loss
782,A Retrospective Cohort Study to Investigate the Incidence of Cachexia During Chemotherapy in Patients with Colorectal Cancer.,A retrospective cohort study to investigate the incidence of cachexia during chemotherapy in patients with colorectal cancer
783,Efficacy of probiotics in patients with morbid obesity undergoing bariatric surgery: a systematic review and meta-analysis.,Efficacy of probiotics in patients with morbid obesity undergoing bariatric surgery: a systematic review and meta-analysis
784,Everolimus after failure of one prior VEGF-targeted therapy in metastatic renal cell carcinoma: Final results of the MARC-2 trial.,Everolimus after failure of a prior VEGF-targeted therapy in metastatic renal cell carcinoma : final results of the MARC-2 trial
785,Microbiota Introduced to Germ-Free Rats Restores Vascular Contractility and Blood Pressure.,Introducing microbiota to germ-free rats restores Vascular Contractility and Blood Pressure.
786,Thymosin alpha 1 exerts beneficial extrapulmonary effects in cystic fibrosis.,In cystic fibrosis thymosin alpha 1 exerts beneficial extrapulmonary effects.
787,A Cecal Mucormycosis Mass Mimicking Colon Cancer in a Patient with Renal Transplant: A Case Report and Literature Review.,A Cecal mucicosis - mass mimicking colon cancer in a patient with renal transplantation : A Case Report and Literature Review
788,"Effects of Metabolic Syndrome on Intestinal Flora, Inflammatory Factors, and Infants of Pregnant Patients.","Effects of Metabolic Syndrome on the intestinal florea, inflammation factors and infants of pregnant patients"
789,Endoscopic sleeve gastroplasty plus liraglutide versus endoscopic sleeve gastroplasty alone for weight loss.,Endoscopic sleeve gastroplasty plus liraglutide versus endoscopic sleeve gastroplasty alone for weight loss
790,Low FODMAP Diet Is Not Effective in Children with Functional Abdominal Pain: A Randomized Controlled Trial.,Low FODMAP Diet Is Not Effective in Children with Functional Abdominal Pain: A Randomized Controlled Trial
791,Linked Color Imaging Focused on Neoplasm Detection in the Upper Gastrointestinal Tract : A Randomized Trial.,Linked color imaging focused on neoplasm - detection in the upper stomach : A randomized study
792,Presence of dynapenia and association with anthropometric variables in cancer patients.,Dynapenia and association with anthropometric variables in cancer patients.
793,Plasma citrulline correlates with basolateral amino acid transporter LAT4 expression in human small intestine.,Plasma citrulline correlates with the basolateral amino acid transporter LAT4 expression in the small intestine of humans.
794,"A plant-based meal affects thalamus perfusion differently than an energy- and macronutrient-matched conventional meal in men with type 2 diabetes, overweight/obese, and healthy men: A three-group randomized crossover study.","A plant-based meal affects thalamus perfusion differently than an energy and macronutrient-rich conventional meal in men with type 2 diabetes, overweight/obese and healthy men : A randomized crossover study."
795,Endoscopic intragastric balloon therapy for 15 years in Japan: Results of nationwide surveys.,Endoscopic intragastric balloon therapy in Japan for 15 years: results of nationwide surveys.
796,"Role of GLP-1 Receptor Agonists in Pediatric Obesity: Benefits, Risks, and Approaches to Patient Selection.","The role of GLP-1-sensitive agonists in pediatric obesity: benefits, risks and approaches to patient selection"
797,Changes in intestinal flora in preeclampsia rats and effects of probiotics on their inflammation and blood pressure.,Changes in the intestinal flora of preeclampsia rats and the effects of probiotics on their inflammation and blood pressure
798,Coadministration of metformin prevents olanzapine-induced metabolic dysfunction and regulates the gut-liver axis in rats.,Metformin - Coadministration prevents olanzapine -induced metabolic dysfunction and regulates the gut-liver axis in rats.
799,"Lactose after Roux-en-Y gastric bypass for morbid obesity, is it a problem?",Is it a problem after Roux-en-Y gastric bypass for morbid obesity?
800,A Decade's Progress in the Development of Molecular Imaging Agents Targeting the Growth Hormone Secretagogue Receptor.,A decade of progress in the development of Molecular Imaging agents targeted at the growth hormone secretagogue receptors.
801,Imaging alternatives to colonoscopy: CT colonography and colon capsule. European Society of Gastrointestinal Endoscopy (ESGE) and European Society of Gastrointestinal and Abdominal Radiology (ESGAR) Guideline - Update 2020.,Imaging alternatives to colonoscopy: CT colonography and colon capsule; European Society of Gastrointestinal Endoscopy (ESGE) and European Society of Gastrointestinal and Abdominal Radiology (ESGAR) Directive update 2020.
802,Imaging alternatives to colonoscopy: CT colonography and colon capsule. European Society of Gastrointestinal Endoscopy (ESGE) and European Society of Gastrointestinal and Abdominal Radiology (ESGAR) Guideline - Update 2020.,Guideline updated 2020: European Society of Gastrointestinal Endoscopy (ESGE) and European Society of Gastrointestinal and Abdominal Radiology (ESGAR).
803,Increased intestinal permeability and gut dysbiosis in the R6/2 mouse model of Huntington's disease.,Increased intestinal permeability and gut dysbiosis in the R6/2 mouse model of Huntington's disease.
804,Clinical presentation of hereditary angioedema.,Clinical presentation of hereditary angioedema
805,"Effect of Bariatric Surgery on Weight Loss, Nutritional Deficiencies, Postoperative Complications and Adherence to Dietary and Lifestyle Recommendations: A retrospective cohort study from Bahrain.","Effect of bariatric surgery on weight loss, nutritional deficiencies, postoperative complications and compliance with dietary and lifestyle recommendations: a retrospective cohort study from Bahrain."
806,Budd-Chiari syndrome as a complication of eosinophilic granulomatosis with polyangiitis in a young Chinese man: a case report.,A complication of eosinophilic granulomatosis with polyangiitis in a young Chinese man: a case report.
807,The characteristics of video capsule endoscopy in pediatric Henoch-Schönlein purpura with gastrointestinal symptoms.,The characteristics of video capsule endoscopy in pediatric Henoch-Schönlein purpura with gastrointestinal symptoms.
808,A case of post-surgical inflammatory neuropathy with lower-extremity weakness after surgery for anorectal malignant melanoma that showed the effectiveness of immunotherapy.,A case of post-surgical inflammatory neuropathy with lower extremity weakness after surgical removal of anorectal malignant melanoma that showed the effectiveness of immunotherapy.
809,Association Between Active Gait Training for Severely Disabled Patients with Nasogastric Tube Feeding or Gastrostoma and Recovery of Oral Feeding: A Retrospective Cohort Study.,Retrospective cohort study between active gait training for severely disabled patients with Nasogastric Tube Feeding or Gastrostoma and the recovery of oral feeding
810,Relationship between MEG3 gene polymorphism and risk of gastric cancer in Chinese population with high incidence of gastric cancer.,Relationship between MEG3 gene polymorphism and gastric cancer risk in Chinese population with high incidence of gastric cancer
811,Usefulness of Testing for Fecal Calprotectin in Pediatric Gastroenterology Clinical Practice.,Usefulness of testing for Fecal Calprotectin in Pediatric Gastroenterology Clinical Practice
812,"The importance of overweight in COVID-19: A retrospective analysis in a single center of Wuhan, China.","The importance of weight overruns in COVID-19: a retrospective analysis in a single center of Wuhan, China."
813,Guidelines for sedation in gastroenterological endoscopy (second edition).,Intense reference for sedation in gastroenterological endoscopy (second edition).
814,Fabrication of zein/alginate delivery system for nanofood model based on pumpkin.,Fabrication of zein/alginate delivery system for nanofood model based on pumpkin
815,Gut Microbiota in Patients with Morbid Obesity Before and After Bariatric Surgery: a Ten-Year Review Study (2009-2019).,Gut microbiota in patients with morbid obesity before and after a bariatric surgery: a 10-year review study (2009-2019).
816,Hiatal Hernia Evaluation Before Bariatric Surgery: Should It Be Routinely Done?,Should hernia assessment be performed routinely before the bariatric surgery?
817,Identification and Metabolic Profiling of a Novel Human Gut-derived LEAP2 Fragment.,Identification and Metabolic Profiling of a Novel Human Gut-derived LEAP2 Fragment
818,Downregulation of CTRP-3 by Weight Loss In Vivo and by Bile Acids and Incretins in Adipocytes In Vitro.,Downregulation of CTRP-3 in vitro by weight loss in vivo and by bile acids and incretins in adipocytes
819,Ultrasonographic findings of gastrointestinal histoplasmosis in dogs.,Ultrasonographic findings of gastrointestinal histoplasmosis in dogs
820,The Effect of Ketamine on Acute and Chronic Wound Pain in Patients Undergoing Breast Surgery: A Meta-Analysis and Systematic Review.,The effect of ketamine on acute and chronic pain in patients underwent a breast surgery: a metaanalysis and systematic review
821,Spermidine improves gut barrier integrity and gut microbiota function in diet-induced obese mice.,Spermidine improves the integrity of the gut barrier and gut microbiota function in obesity-induced mice
822,Revisional One-Anastomosis Gastric Bypass After Restrictive Index Surgery-a Metaanalysis and Comparison with Revisional Roux-en-Y Gastric Bypass.,Revisional One-Anastomosis Gastric Bypass After Restrictive Index Surgery-a Metaanalysis and Comparison with Revisional Roux-en-Y Gastric Bypass
823,Leiomyomatosis peritonealis disseminata: An exceptional case.,Leiomyomatosis peritonealis disseminata: An exception.
824,Isoperistaltic versus antiperistaltic uncut Roux-en-Y anastomosis after distal gastrectomy for gastric cancer: a propensity score matched analysis.,Isoperistaltic versus antiperistaltic uncut Roux-en-Y anastomosis after distal gastrectomy for gastric cancer : a matched propensity score analysis
825,Sinistral Portal Hypertension Prediction During Pancreatoduodenectomy With Splenic Vein Resection.,Hypertension prediction of the Sinistral Portal During Pancreatoduodenectomy with Splenic vein resection
826,Intraoperative haemodynamic optimisation therapy with venoarterial carbon dioxide difference and pulse pressure variation - does it work?,Intraoperative hemodynamic optimisation therapy with venoarterial carbon dioxide difference and pulse pressure variation - Does it work?
827,Inspecting the total gastrointestinal tract by consecutive bidirectional double-balloon enteroscopy in patients with suspected small bowel bleeding.,Detecting the total gastrointestinal tract by bidirectional bi-directional enteroscopy in patients with suspected small bowel bleeding
828,Expected values for gastrointestinal and pancreatic hormone concentrations in healthy volunteers in the fasting and postprandial state.,Expected concentrations of the digestive and pancreatic hormones in healthy volunteers in the fasting and postprandial state.
829,An extensive posterior circulation infarction secondary to primary hyperthyroidism accompanied with superior mesenteric artery syndrome: A case report and description of patho-physiological association.,An extensive posterior ventricular infarction secondary to primary hyperthyroidism accompanied with the superior mesenteric artery syndrome: a case report and description of the pathophysiological association.
830,Concomitant Pyogenic Liver and Intraocular Abscesses in Klebsiella Endogenous Endophthalmitis: Case Report and Review of Literature.,Concomitant pyogenic liver and intraocular abscesses in Klebsiella endogenous endophthalmitis: Case Report and Review of Literature.
831,A paradox between preoperative overweight/obesity and change in weight during postoperative chemotherapy and its relationship to survival in stage Ⅱ and Ⅲ colorectal cancer patients.,A paradox between preoperative overweight/obesity and changes in weight during postoperative chemo and their relation to survival in stage II and III colorectal cancer patients.
832,A Quality Improvement Intervention to Reduce Postoperative Opiate Use in Neonates.,A Quality Improvement Intervention to Reduce Postoperative Opiate Use in Neonatals
833,Dyssynergic patterns of defecation in constipated adolescents and young adults with anorectal malformations.,Dyssynergic patterns of defecation in constipated adolescents and young adults with anorectal malformations
834,Long-Term Outcome of Proximal Versus Very-Very Long Limb Roux-en-Y Gastric Bypass: the Roux-Limb to Common Channel Ratio Determines the Long-Term Weight Loss.,Long-Term Outcome of Proximal Versus Very-Very Long Limb Roux-en-Y Gastric Bypass: The Roux-Limb to Common Channel Ratio determines the long-term weight loss.
835,Severe Acute Respiratory Syndrome Coronavirus 2 Clinical Syndromes and Predictors of Disease Severity in Hospitalized Children and Youth.,Coronavirus 2 severe acute respiratory syndrome Clinical syndromes and risk factors of severe illness in hospitalized children and youth
836,Functioning and nonfunctioning cysts of the adrenal cortex and medulla.,Functioning and nonfunctioning cysts of the adrenal cortex and medulla
837,Cross-Talk between Diet-Associated Dysbiosis and Hand Osteoarthritis.,Crosstalk between Diet-Associated Dysbiosis and Hand Osteoarthritis
838,HER2 gene assessment in liquid biopsy of gastric and esophagogastric junction cancer patients qualified for surgery.,HER2 gene assessment in liquid biopsy of gastric and esophagogastric junction cancer patients qualified for surgery.
839,The use of endoscopy after gastric partitioning for morbid obesity.,Use of endoscopy after gastric partitioning for morbid obesity.
840,Cardiorespiratory complications of digestive endoscopy not related to sedation.,Cardiorespiratory complications of the gastroesophageal endoscopy are not related to sedation.
841,Two cases of autoimmune pancreatitis with diabetes and literature review.,Two cases of autoimmune pancreatitis with diabetes and literature review
842,First-Phase Insulin and Amylin after Bariatric Surgery: A Prospective Randomized Trial on Patients with Insulin Resistance or Diabetes after Gastric Bypass or Sleeve Gastrectomy.,First phase insulin and Amylin after bariatric surgery: A prospective randomized trial on patients with insulin resistance or diabetes following a gastric bypass or a sleeve Gastrectomy
843,Endobariatrics and Metabolic Endoscopy: Can We Solve the Obesity Epidemic with Our Scope?,Endobariatrics and metabolic endoscopy : Can We Solve the Obesity Epidemic With Our Scope?
844,One-anastomosis gastric bypass with a short limb.,One-anastomosis gastric bypass with a short limb
845,Results of 300 pancreatic duct stenting in acute pancreatitis.,Results of a 300 pancreatic duct stenting in acute pancreatitis.
846,Efficacy of Liraglutide to Prevent Weight Regain After Retrieval of an Adjustable Intra-gastric Balloon-a Case-Matched Study.,Liraglutide's efficacy to prevent weight loss after return of an adjustable intragastric balloon- a case-matched study
847,Prophylactic treatment of acute gastroduodenal stress ulceration. Low-dose antacid treatment without and with additional ranitidine.,Prophylactic treatment of acute gastroduodenal stress ulceration. Low-dose antiacid treatment without or with additional ranitidine.
848,Caroli's Syndrome: An Early Presentation.,Caroli syndrome: An Early Presentation
849,Advanced Lung Cancer Inflammation Index Predicts Outcomes of Patients With Colorectal Cancer After Surgical Resection.,Advanced lung cancer inflammation index predicts outcomes of patients with colorectal cancer after a surgical resection.
850,"Estimation of effective dose of propofol mono-sedation for successful insertion of upper gastrointestinal endoscope in healthy, non-obese Chinese adults.","Estimation of effective dose of propofol monosedation for successful insertion of the upper gastrointestinal endoscope in healthy, non-obese Chinese adults."
851,Appropriateness of colonoscopy at a tertiary care centre - are we overdoing gastrointestinal endoscopy?,Appropriateness of colonoscopy in a tertiary care center - are we overdoing gastrointestinal endoscopy?
852,Stress-related mucosal damage: an overview.,A systematic review of stress-related mucosal damage.
853,Heterotopic pancreas: the added value of endoscopic ultrasound with Computed Tomography for diagnosis.,Heterotopic pancreas: the added value of endoscopic ultrasound for diagnosis with computed tomography
854,Gastric Fistula After Sleeve Gastrectomy: Clinical Features and Treatment Options.,Gastric fistula after patient's stentectomy: clinical features and treatment options
855,Establishment and verification of a nomogram for predicting the risk of lymph node metastasis in early gastric cancer.,Establishment and validation of a Nomogram for the prediction of the risk of lymph node metastasis in early gastric cancer
856,Does overground robotic gait training improve non-motor outcomes in patients with chronic stroke? Findings from a pilot study.,Is overground robotic gait training better than non-motor outcomes in patients with chronic stroke?
857,"Influence of body composition, muscle strength, and physical performance on the postoperative complications and survival after radical gastrectomy for gastric cancer: A comprehensive analysis from a large-scale prospective study.","Influence of body composition, muscle strength and physical performance on the postoperative complications and survival after a radical gastrectomy for gastric cancer: a comprehensive analysis from a large prospective study."
858,Low Stroke Volume Index in Healthy Young Men Is Associated with the Incidence of Acute Mountain Sickness after an Ascent by Airplane: A Case-Control Study.,The low Strepsis Volume Index in Healthy Young Men is associated with the incidence of acute mountain sickness after an air-lifting attempt : A case study study
859,"Connection between the Gut Microbiome, Systemic Inflammation, Gut Permeability and FOXP3 Expression in Patients with Primary Sjögren's Syndrome.","In patients with primary Sjögren's Syndrome, connection between the Gut Microbiome, Systemic Inflammation, Gut Permeability and FOXP3 expression"
860,Peri-operative antibiotics acutely and significantly impact intestinal microbiota following bariatric surgery.,Perioperative antibiotics affect intestinal microbiota acutely and significantly following bariatric surgery.
861,Fluid Therapy in Patients Undergoing Abdominal Surgery: A Bumpy Road Towards Individualized Management.,Fluid therapy in patients undergone abdominal surgery: A bumpy road toward individualized treatment
862,Heart rate variability and inflammatory bowel disease in humans: A systematic review and meta-analysis.,Heart rate variability and inflammation in the bowel diseases of humans : systematic review and meta-analysis
863,Nomogram to Predict Preoperative Occult Peritoneal Metastasis of Gastrointestinal Stromal Tumors (GIST) Based on Imaging and Inflammatory Indexes.,Nomogram to predict the preoperative occult peritoneal metastasis of gastrointestinal stromal tumors (GIST) based on imaging and inflammation indexes.
864,HbA1C is not directly associated with complications of bariatric surgery.,HbA1C is not directly associated with complications of bariatric surgery.
865,Ultrasound assessment of gastric insufflation in obese patients receiving transnasal humidified rapid-insufflation ventilatory exchange during general anesthesia induction.,Ultrasound assessment of gastric insufflation in obese patients receiving transnasal humidified rapid insufflation ventilatory exchange during general anesthesia induction
866,Approach to Patients with Unintentional Weight Loss.,Approach for patients with unintentional weight loss
867,Gastrointestinal manifestations after Roux-en-Y gastric bypass surgery in individuals with and without type 2 diabetes.,Gastrointestinal manifestations after Roux-en-Y gastric bypass surgery in individuals with and without type 2 diabetes.
868,Health disparity in access to bariatric surgery.,Health disparity in access to bariatric surgery.
869,COVID-19's toll on the elderly and those with diabetes mellitus - Is vitamin B12 deficiency an accomplice?,COVID-19's toll on the elderly and people with diabetes mellitus - Is Vitamin B12 deficiency an accomplice?
870,"Gastric antral vascular ectasia in children, rare presentation.","Gastrocutaneous antral vascular ectasia in children, rare presentation"
871,Joint Hypermobility Syndrome in Patients With Functional Dyspepsia.,Joint Hypermobility Syndrome in patients with functional dyspsia.
872,Reactive arthritis in enteral infections.,Reactive arthritis in Enteral Infections
873,A rare case of PSA-negative metastasized prostate cancer to the stomach with serum CEA and CA19-9 elevation: a case report.,A rare case of PSA-negative prostate cancer to the stomach with serum CEA and CA19-9 elevation: a case report.
874,Comparison of two supplemental oxygen methods during gastroscopy with propofol mono-sedation in patients with a normal body mass index.,Comparison of two supplemental oxygen methods during gastroscopy with propofol monosedation in patients with normal body mass index.
875,Clinical Features and Factors Affecting Postoperative Mortality for Obstructive Acute Mesenteric Ischemia in China: A Hospital- Based Survey.,A clinical feature and factor impacting postoperative mortality for obstrusive acute mesenteric ischemic ischemia in China: a hospital-based survey
876,Long-term outcomes of metabolic surgery in overweight and obese patients with type 2 diabetes in Asia.,Long-term outcomes of metabolic surgery in overweight and obese patients with type 2 diabetes in Asia.
877,Gut Microbial Ecosystem in Parkinson Disease: New Clinicobiological Insights from Multi-Omics.,The gut microbiome of Parkinson disease: New Clinicobiological Insights from Multi-Omics
878,The Effect of a PEEK Material-Based External Fixator in the Treatment of Distal Radius Fractures with Non-Transarticular External Fixation.,The effect of a material-based external fixator in the treatment of distal radius fractures with non-transarticular external fixation
879,"Survival features, prognostic factors, and determinants of diagnosis and treatment among Iranian patients with pancreatic cancer, a prospective study.","Survival features, prognostic factors and determinants of diagnosis and treatment among Iranian patients with pancreatic cancer, a prospective study."
880,Using ultrasound features and radiomics analysis to predict lymph node metastasis in patients with thyroid cancer.,The use of ultrasound features and radiomics analysis to predict the lymph node metastasis in patients with thyroid cancer
881,Low dose aminophylline accelerates recovery from diazepam premedication for digestive endoscopy.,Low dose aminophylline accelerates recovery from diazepam premedication for digestive endoscopy.
882,The centenary of the Harris-Benedict equations: How to assess energy requirements best? Recommendations from the ESPEN expert group.,The centenary of the Harris-Benedict equations: how best to assess the energy needs? Recommendations of the ESPEN expert group
883,Cerebral Blood Flow and Cognitive Performance in Postural Tachycardia Syndrome: Insights from Sustained Cognitive Stress Test.,Cerebral blood flow and cognitive performance in the Postural Tachycardia syndrome: insights from a sustained cognitive stress test
884,Sleeve gastrectomy or gastric bypass: a  post-code  lottery? A comprehensive national analysis of the utilization of bariatric surgery in Switzerland between 2011-2017.,A comprehensive national analysis of the use of bariatric surgery in Switzerland between 2011 and 2017.
885,Chinese herbal medicine on treating obese women with polycystic ovary syndrome: A systematic review and meta-analysis protocol.,Chinese herbal medicine for treating obese women with polycystic ovary syndrome: a systematic review and meta-analysis protocol.
886,Comparison of dexmedetomidine-propofol and ketamine-propofol administration during sedation-guided upper gastrointestinal system endoscopy.,Comparison of dexmedetomidine-propofol and ketamine-propofol administration during sedation-guided upper gastrointestinal system endoscopy
887,Cancer of unknown primary.,Cancer of unknown primary.
888,"Acute Effects of Red Chili, a Natural Capsaicin Receptor Agonist, on Gastric Accommodation and Upper Gastrointestinal Symptoms in Healthy Volunteers and Gastroesophageal Reflux Disease Patients.","Acute effects of red chili, a natural capsaicin receptor antagonist, on gastric accommodation and upper gastrointestinal symptoms in healthy volunteers and Gastroesophageal reflux disease patients."
889,Propofol-ketamine versus dexmedetomidine-ketamine for sedation during upper gastrointestinal endoscopy in pediatric patients: a randomized clinical trial.,Propofol-ketamine versus dexmedetomidine-ketamine for sedation during the upper gastrointestinal endoscopy in pediatric patients: a randomized clinical trial.
890,Primary extra-gastrointestinal stromal tumor (EGIST) of the mesentery: Case report and review of literature.,Primary extra-gastrointestinal stromal tumor of the mesentery (EGIST): Case report and review of literature
891,Primary diffuse large B-cell lymphoma of the breast in a male patient with Sjögren's syndrome.,Primary diffuse B-cell lymphoma of the breast in a male patient with Sjögren's syndrome
892,Post colonoscopic Listeria monocytogenes meningitis in a patient with multiple myeloma during daratumumab-based therapy.,Listeria monocytogenes meningitis in a patient with multiple myeloma during the daratumumab-based therapy.
893,A Combined Effect of Expression Levels of Obesity-Related Genes and Clinical Factors on Cancer Survival Rate.,A Combined Effect of Expression Levels of Obesity-Related Genes and Clinical Factors on the Cancer Survival Rate
894,Development of a drug-device combination for fluorescence-guided surgery in neuroendocrine tumors.,Development of a drug-device combination for fluorescence-guided surgery in neuroendocrine tumors
895,Treatment of refractory gout with TNF-α antagonist etanercept combined with febuxostat.,Treatment of refractory gout with TNF- antagonist etanercept combined with febuxostat
896,Diverticular Disease Epidemiology: Rising Rates of Diverticular Disease Mortality Across Developing Nations.,Epidemiology of diverticular disease: Rising rates of diverticular disease Mortality in Developing nations
897,WAYS OF OPTIMIZING THE DIAGNOSTICS OF FOOD ALLERGIES IN CHILDREN BASED ON THE CLINICAL AND IMMUNOLOGICAL CRITERIA.,WAYS OF OPTIMIZING THE DIAGNOSTICS OF FOOD ALLERGIES IN CHILDREN BASED ON THE CLINICAL AND IMMUNOLOGICAL CRITERIA
898,Use of the alkaline phosphatase to prealbumin ratio as an independent predictive factor for the prognosis of gastric cancer.,Use of the alkaline phosphatase to prealbumin ratio as an independent predictor for the prognosis of gastric cancer.
899,"Bile acid, glucose, lipid profile, and liver enzyme changes in prediabetic patients 1 year after sleeve gastrectomy.","Changes in bile acid, glucose, lipid profile and liver enzyme profile in prediabetic patients 1 year after sleeve gastrectomy."
900,Pathogenic potential of Parabacteroides distasonis revealed in a splenic abscess case: a truth unfolded.,Pathogenic potential of Parabacteroides distasonis revealed in a splenic abscess case: a truth unfolded
901,Multicenter comparison of the nifedipine gastrointestinal therapeutic system and long-acting propranolol in patients with mild to moderate systemic hypertension receiving diuretics. A preliminary experience.,Multicenter gastrointestinal therapy : comparison of nifedipine and long-acting propranolol in patients with moderate to mild systemic hypertension receiving diuretics.
902,"Impact of diet and synbiotics on selected gut bacteria and intestinal permeability in individuals with excess body weight - A Prospective, Randomized Study.","Effect of diet and synbiotics on selected gut bacteria and intestinal permeability in individuals with excess body weight - A prospective, randomised study"
903,Importance of early detection of juvenile polyposis syndrome: A case report and literature review.,Importance of the early detection of juvenile polyposis syndrome: A case report and literature review.
904,Chest pain.,Chest pain.
905,Long-Term Effects of Laparoscopic Sleeve Gastrectomy and Roux-en-Y Gastric Bypass on Body Composition and Bone Mass Density.,Long-term effects of laparoscopic Sleeve Gastrectomy and Roux-en-Y gastric bypass on body composition and bone density.
906,Rare and unusual presentation of gastrocardiac syndrome.,Rare and unusual presentation of gastrocardiac syndrome.
